    date,month,branch,district,demand,lat,long,month_period
01-01-2024,1,D10,22,837,53.317868,-6.397531,2024-01
01-01-2024,1,D10,12,318,53.321125,-6.317319,2024-01
01-01-2024,1,D10,6w,89,53.308329,-6.301888,2024-01
01-01-2024,1,D10,6,64,53.321452,-6.264349,2024-01
01-01-2024,1,D10,4,38,53.328197,-6.22809,2024-01
01-01-2024,1,D10,24,509,53.285009,-6.37192,2024-01
01-01-2024,1,D10,16,128,53.281712,-6.284927,2024-01
01-01-2024,1,D10,18,35,53.263568,-6.153265,2024-01
01-02-2024,2,D10,20,1090,53.350928,-6.368541,2024-02
01-02-2024,2,D10,8,305,53.34197,-6.317348,2024-02
01-02-2024,2,D10,22,789,53.317868,-6.397531,2024-02
01-02-2024,2,D10,12,349,53.321125,-6.317319,2024-02
01-02-2024,2,D10,6w,89,53.308329,-6.301888,2024-02
01-02-2024,2,D10,6,89,53.321452,-6.264349,2024-02
01-02-2024,2,D10,4,31,53.328197,-6.22809,2024-02
01-02-2024,2,D10,24,487,53.285009,-6.37192,2024-02
01-02-2024,2,D10,16,141,53.281712,-6.284927,2024-02
01-02-2024,2,D10,18,36,53.263568,-6.153265,2024-02
01-03-2024,3,D10,20,1147,53.350928,-6.368541,2024-03
01-03-2024,3,D10,8,327,53.34197,-6.317348,2024-03
01-03-2024,3,D10,22,979,53.317868,-6.397531,2024-03
01-03-2024,3,D10,12,371,53.321125,-6.317319,2024-03
01-03-2024,3,D10,6w,87,53.308329,-6.301888,2024-03
01-03-2024,3,D10,6,98,53.321452,-6.264349,2024-03
01-03-2024,3,D10,4,35,53.328197,-6.22809,2024-03
01-03-2024,3,D10,24,548,53.285009,-6.37192,2024-03
01-03-2024,3,D10,16,158,53.281712,-6.284927,2024-03
01-03-2024,3,D10,18,34,53.263568,-6.153265,2024-03
01-04-2024,4,D10,20,1230,53.350928,-6.368541,2024-04
01-04-2024,4,D10,8,383,53.34197,-6.317348,2024-04
01-04-2024,4,D10,22,1023,53.317868,-6.397531,2024-04
01-04-2024,4,D10,12,411,53.321125,-6.317319,2024-04
01-04-2024,4,D10,6w,79,53.308329,-6.301888,2024-04
01-04-2024,4,D10,6,109,53.321452,-6.264349,2024-04
01-04-2024,4,D10,4,50,53.328197,-6.22809,2024-04
01-04-2024,4,D10,24,633,53.285009,-6.37192,2024-04
01-04-2024,4,D10,16,161,53.281712,-6.284927,2024-04
01-04-2024,4,D10,18,44,53.263568,-6.153265,2024-04
01-05-2024,5,D10,20,1220,53.350928,-6.368541,2024-05
01-05-2024,5,D10,8,357,53.34197,-6.317348,2024-05
01-05-2024,5,D10,22,999,53.317868,-6.397531,2024-05
01-05-2024,5,D10,12,404,53.321125,-6.317319,2024-05
01-05-2024,5,D10,6w,115,53.308329,-6.301888,2024-05
01-05-2024,5,D10,6,111,53.321452,-6.264349,2024-05
01-05-2024,5,D10,4,48,53.328197,-6.22809,2024-05
01-05-2024,5,D10,24,630,53.285009,-6.37192,2024-05
01-05-2024,5,D10,16,160,53.281712,-6.284927,2024-05
01-05-2024,5,D10,18,46,53.263568,-6.153265,2024-05
01-06-2024,6,D10,20,1388,53.350928,-6.368541,2024-06
01-06-2024,6,D10,8,413,53.34197,-6.317348,2024-06
01-06-2024,6,D10,22,1121,53.317868,-6.397531,2024-06
01-06-2024,6,D10,12,454,53.321125,-6.317319,2024-06
01-06-2024,6,D10,6w,124,53.308329,-6.301888,2024-06
01-06-2024,6,D10,6,117,53.321452,-6.264349,2024-06
01-06-2024,6,D10,4,44,53.328197,-6.22809,2024-06
01-06-2024,6,D10,24,673,53.285009,-6.37192,2024-06
01-06-2024,6,D10,16,182,53.281712,-6.284927,2024-06
01-06-2024,6,D10,18,43,53.263568,-6.153265,2024-06
01-07-2024,7,D10,20,1233,53.350928,-6.368541,2024-07
01-07-2024,7,D10,8,412,53.34197,-6.317348,2024-07
01-07-2024,7,D10,22,996,53.317868,-6.397531,2024-07
01-07-2024,7,D10,12,408,53.321125,-6.317319,2024-07
01-07-2024,7,D10,6w,100,53.308329,-6.301888,2024-07
01-07-2024,7,D10,6,107,53.321452,-6.264349,2024-07
01-07-2024,7,D10,4,35,53.328197,-6.22809,2024-07
01-07-2024,7,D10,24,624,53.285009,-6.37192,2024-07
01-07-2024,7,D10,16,166,53.281712,-6.284927,2024-07
01-07-2024,7,D10,18,44,53.263568,-6.153265,2024-07
01-08-2024,8,D10,20,1276,53.350928,-6.368541,2024-08
